label,black_pixels,regions
tyr,2530,1
gift,2758,1
gift,2230,1
joy,1633,2
bow,4665,5
oak,1687,1
ash,2150,1
tyr,2409,1
bow,4492,4
oak,2580,1
spear,4273,6
wealth,16384,0
gift,1364,1
spear,4405,3
gift,5810,3
joy,2109,2
joy,2921,2
joy,2065,2
sun,2309,1
serpent,3044,1
need,2146,1
joy,1516,2
bow,2579,2
serpent,2778,1
sun,2322,1
need,4166,2
elk-sedge,1660,1
tyr,3935,1
gift,2503,1
spear,4484,3
wealth,1507,1
wealth,1519,1
ash,2108,1
oak,2737,1
ash,2353,1
wealth,2162,1
sun,2459,1
wealth,3149,1
bow,7260,2
joy,863,2
tyr,1487,1
serpent,1658,1
ash,2433,2
ash,3230,1
spear,2386,3
oak,2247,1
sun,2541,1
spear,3789,3
wealth,2805,1
joy,2231,2
gift,3503,1
gift,2963,1
ash,1838,1
sun,2673,1
joy,2569,3
need,1696,1
elk-sedge,2005,1
joy,2198,2
gift,16384,0
serpent,2767,1
elk-sedge,2665,1
need,2161,1
sun,1366,1
serpent,2884,1
spear,3964,2
spear,4902,3
bow,3331,2
ash,2568,1
ash,1932,1
elk-sedge,1727,1
sun,2012,1
bow,2781,2
elk-sedge,2611,1
bow,3332,2
oak,2027,1
sun,2124,1
joy,2461,2
ash,2521,1
oak,3360,1
need,1943,1
ash,2426,1
tyr,2201,1
gift,4283,1
ash,2291,1
bow,2845,2
spear,4084,4
bow,3302,2
need,2057,2
bow,3402,2
need,1372,1
need,2070,1
elk-sedge,2406,1
elk-sedge,2782,1
oak,2909,1
need,1802,1
oak,2835,1
need,3355,1
bow,3862,2
gift,3087,1
sun,1275,1
need,2065,1
need,1594,1
elk-sedge,16384,0
bow,2910,4
need,1775,1
elk-sedge,3845,1
wealth,3538,1
oak,2771,1
wealth,1949,1
joy,2348,2
wealth,2450,1
tyr,1694,1
ash,2050,1
spear,4149,3
need,2758,1
need,1407,1
serpent,2708,1
oak,2853,1
gift,2056,1
oak,2914,1
wealth,2551,1
elk-sedge,2929,1
joy,2323,2
sun,1977,1
bow,3314,2
serpent,2364,1
bow,16384,0
spear,3712,4
sun,2436,1
tyr,2262,1
oak,2481,1
ash,2539,1
need,1851,1
bow,3199,2
tyr,1526,1
need,16384,0
gift,2460,1
wealth,2412,1
wealth,2036,1
tyr,3849,1
sun,2727,1
sun,2384,1
bow,3574,2
oak,2394,1
wealth,1937,2
need,2178,1
wealth,2255,1
ash,1998,1
gift,2738,1
ash,2634,1
tyr,1570,1
oak,2583,1
joy,2846,2
need,1603,1
oak,1793,1
oak,2676,1
serpent,5812,2
tyr,2203,1
oak,2919,1
ash,3241,1
bow,3086,2
joy,2869,2
wealth,3263,1
joy,2662,2
joy,2363,2
ash,1325,1
sun,3309,1
elk-sedge,2615,1
joy,2415,2
serpent,2497,1
ash,16384,0
tyr,2124,1
elk-sedge,1945,1
ash,2567,1
serpent,16384,0
sun,2501,1
tyr,2013,1
serpent,2152,1
elk-sedge,2334,1
sun,2692,1
bow,16384,0
serpent,2221,1
need,2527,1
gift,1799,1
gift,1097,1
gift,2847,1
wealth,2448,1
gift,3026,1
joy,2406,2
elk-sedge,3126,1
gift,2224,1
spear,3704,3
joy,2291,2
wealth,2091,1
sun,1629,1
bow,3048,2
bow,3554,2
wealth,2458,1
need,1909,1
wealth,2785,1
serpent,4735,1
bow,4106,2
serpent,3825,1
oak,2286,1
sun,2147,1
oak,2641,1
sun,2038,1
gift,2931,1
wealth,2597,2
ash,2249,1
sun,1469,1
need,1728,1
ash,2746,1
tyr,4999,1
serpent,1913,1
gift,3532,1
sun,3230,1
bow,5321,2
need,1639,2
ash,1445,1
joy,2478,2
elk-sedge,2314,1
sun,3732,1
spear,3628,3
serpent,3010,1
joy,2673,2
bow,4761,2
wealth,2373,1
need,1538,1
ash,2562,1
oak,16384,0
need,1881,1
joy,2007,2
elk-sedge,2857,1
tyr,1677,1
bow,3369,2
wealth,2414,1
need,2150,1
ash,1819,1
ash,1490,1
need,2388,1
bow,4518,5
gift,3384,1
elk-sedge,3200,1
joy,2476,2
spear,4649,4
wealth,2734,1
ash,2023,1
need,1895,1
need,2052,1
oak,2310,1
ash,2113,1
spear,4046,3
gift,2747,1
gift,3101,1
spear,3881,3
serpent,2341,1
elk-sedge,2472,1
ash,2106,1
oak,2918,1
sun,1556,1
oak,2015,2
bow,2887,2
elk-sedge,4060,1
serpent,1796,1
spear,3770,5
wealth,2842,1
sun,4332,1
ash,2114,1
joy,2727,2
tyr,1941,1
need,2286,1
sun,1626,1
need,1795,1
tyr,2025,1
oak,1896,1
elk-sedge,4014,2
bow,3709,2
bow,3597,2
spear,4013,3
wealth,2987,1
