label,area,axis_major_length,axis_minor_length,eccentricity,h_sym_err_percent,v_sym_err_percent
gift,7008.0,148.70612259012975,109.52182927258714,0.6764392274243686,0.2702913631633715,0.2760145681581685
sun,3564.0,196.63879399017264,67.93178365304067,0.9384317049636112,0.3016389177939646,0.2764047866805411
gift,5236.0,138.58158091095066,116.7973834811105,0.5382175209746649,0.1850936524453694,0.3323361082206035
oak,6503.0,147.49233457961577,101.7375158205698,0.724017391098326,0.3229708636836628,0.4821800208116545
oak,5165.0,153.36154685757734,101.18201426107969,0.7514752295898176,0.3184183142559833,0.4172736732570239
elk-sedge,5303.0,126.23870841377442,107.99304322004365,0.5178574056243227,0.3419614984391259,0.1213579604578564
oak,4181.0,146.34151756209138,103.98097879603912,0.703660420932528,0.3100936524453694,0.3891779396462019
ash,5156.0,154.537145339087,104.62514994081336,0.7359621671054466,0.2601456815816857,0.4430280957336108
elk-sedge,5144.0,141.2978593818446,91.32604172312992,0.7630520406296291,0.3504162330905307,0.3506763787721124
need,4562.0,140.18487694266187,77.78286670761852,0.8319442792216319,0.3054110301768991,0.4219562955254943
joy,7308.0,141.22149614789924,94.24848832240778,0.744716805677008,0.4265088449531737,0.4010145681581685
need,7351.0,127.95181025087464,93.9392932993675,0.6789579783602027,0.2912330905306972,0.3039802289281998
bow,6018.0,167.05198226032522,117.3314466422048,0.7118170871224727,0.4633194588969823,0.3800728407908428
wealth,5627.0,149.9535818091153,101.14925413201156,0.738240950779912,0.3880072840790843,0.4712539021852237
joy,7384.0,140.70046071616915,111.04052547899876,0.6141388116460537,0.3034599375650364,0.5373309053069719
need,4936.0,135.4314446304072,78.82816625161978,0.8131514442226415,0.3420915712799167,0.3964620187304891
oak,6097.0,151.22912714451218,94.9422915021914,0.7783712486922861,0.3294745057232049,0.4592872008324661
tyr,3789.0,134.53878455980973,98.20482445788156,0.6835145278591446,0.2161810613943808,0.2354318418314256
serpent,5686.0,125.2597033260716,91.748168580208,0.6808062346157746,0.3759105098855359,0.3246618106139438
ash,4697.0,132.36152534155383,123.9955626210584,0.3498797954684564,0.3458636836628512,0.3887877211238293
elk-sedge,5870.0,128.25696442671418,104.5817171617127,0.5788870984410404,0.3069719042663891,0.2328303850156087
tyr,3758.0,136.7866546274066,97.32477725264287,0.7026781573440507,0.2195629552549427,0.2518210197710718
serpent,6723.0,116.49219544663188,106.78566504704602,0.3996299331017788,0.2304890738813735,0.1883454734651404
wealth,5163.0,164.93365894440214,91.99291633286713,0.8300042394487074,0.3241415192507804,0.4136316337148803
