label,area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,solidity,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tl,pixelsum_tm,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br
bow,6897.0,8700.0,11792.0,153.67200115326708,115.9300551886223,0.6564157571190452,93.70983480957811,0.44855619146722164,168.3864602632884,865.1198410471445,0.5848880597014925,1,0.4357440166493236,0.4648803329864724,0,0,14,41,43,42,60,60,58
ash,6878.0,6878.0,10229.0,149.55099895958617,94.67277582657388,0.7741135547102093,93.5806688835277,0.44732049947970864,152.63354808167173,630.6934341759516,0.6724019943298465,0,0.32882414151925077,0.490894901144641,0,0,41,35,46,51,35,35,35
bow,7589.0,9727.0,12594.0,163.18128421133179,117.59712323853864,0.6932956724548602,98.29860072755436,0.4935613943808533,164.20109622045769,876.2914139223983,0.6025885342226457,1,0.4500520291363163,0.36264308012486995,0,0,20,49,51,49,64,66,66
gift,3054.0,3054.0,11800.0,151.27221829311452,99.6945179198371,0.7521074546694235,62.35762639502234,0.19862122788761707,171.86331778480246,634.8082245892128,0.2588135593220339,0,0.2460978147762747,0.22190426638917793,0,0,9,30,31,31,35,35,33
tyr,6073.0,6081.0,9758.0,130.7165771038071,96.12979604556998,0.6776264121666161,87.93397383933382,0.39496618106139436,126.49505919204908,537.8233764908629,0.6223611395777824,1,0.26990114464099896,0.17989073881373568,0,0,20,98,90,73,31,31,31
ash,7847.0,7847.0,10434.0,131.10970044731852,113.86934538831976,0.4956815420021253,99.95554365585143,0.510340790842872,139.60659010233005,653.906637611548,0.7520605712095074,0,0.3173777315296566,0.6090010405827263,0,0,20,89,86,84,70,66,58
tyr,4571.0,4571.0,9527.0,138.59814235656154,97.275198873036,0.7123241109585778,76.2887800333996,0.29728147762747137,128.3160161476345,536.4091629284898,0.47979426891991184,0,0.22411550468262226,0.27926638917793967,0,0,17,21,21,21,23,23,23
spear,6701.0,7356.0,13525.0,143.8259211257249,111.97221741337745,0.6276123686337296,92.36870784670707,0.43580905306971907,171.86331778480246,829.9625535217635,0.495452865064695,2,0.48309053069719043,0.31997918834547345,0,0,13,92,92,90,43,44,45
bow,7656.0,10136.0,12455.0,165.8252263392045,116.67686402416756,0.7105829124373377,98.73156513745948,0.49791883454734653,171.86331778480246,840.0904037956216,0.6146928944199117,1,0.4059573361082206,0.41402185223725285,0,0,25,52,52,50,82,75,77
ash,5825.0,5825.0,10272.0,129.32522011742503,115.4563007401279,0.45053382246436524,86.11980229936854,0.37883714880332986,142.20056258679148,696.9604614807104,0.5670755451713395,0,0.3315556711758585,0.4392559833506764,0,0,14,75,75,71,23,23,23
sun,4783.0,4783.0,10213.0,195.29446086338058,74.704050759366,0.9239471826697414,78.03784173379145,0.31106919875130074,169.799882214329,539.2609306503489,0.4683246842259865,0,0.3963319458896982,0.36095213319458896,0,0,20,47,57,64,25,25,28
elk-sedge,4590.0,4590.0,9272.0,129.20864260799394,100.38220314548035,0.6296239237338455,76.44716809885372,0.29851716961498437,136.0036764208968,543.9066376115481,0.49503882657463333,0,0.27744536940686787,0.20044224765868887,0,0,15,67,63,59,21,21,21
ash,6214.0,6214.0,11204.0,142.27142739866667,115.72807823473008,0.5816605480094318,88.94892090961139,0.4041363163371488,143.5339681051144,730.1492782986674,0.5546233488039986,0,0.2743236212278876,0.4665712799167534,0,0,21,40,27,27,29,29,29
bow,6910.0,9134.0,11976.0,153.38752313684165,120.45905402644526,0.6190837348887017,93.7981090114293,0.4494016649323621,163.6001222493431,815.605122421383,0.5769873079492318,1,0.39542143600416235,0.3982830385015609,0,0,25,42,43,43,60,62,60
serpent,8597.0,8597.0,11679.0,117.0749489136025,110.82765331232936,0.32229731906650616,104.62332610889503,0.5591181061394381,135.2479205015737,600.5756851698602,0.7361075434540628,0,0.2497398543184183,0.23855359001040582,0,0,18,118,121,121,107,107,109
tyr,3632.0,3632.0,9022.0,140.85688299655146,97.38543478953227,0.7224926499783783,68.0029854232747,0.23621227887617066,127.01574705523721,523.2203461105329,0.4025714919086677,0,0.18860561914672216,0.28381893860561913,0,0,13,17,17,17,18,17,17
wealth,4359.0,4359.0,10172.0,157.8263003084157,97.79194400871154,0.7849038817711346,74.49866559543584,0.28349375650364206,154.1590088188167,677.2792206135787,0.4285292961069603,0,0.22567637877211238,0.39841311134235174,0,0,17,68,68,72,23,20,20
joy,5975.0,7316.0,9837.0,147.62238857365747,105.37680698303971,0.7003223535160561,87.22159296752494,0.3885926118626431,146.0,676.4924240491749,0.6074006302734574,1,0.38904786680541104,0.4483610822060354,0,0,27,62,62,62,27,27,27
joy,6438.0,6763.0,10165.0,154.67659421908235,92.54521908004264,0.8012615001238426,90.53792679869015,0.4187044745057232,151.48927354766738,580.0660171779821,0.6333497294638465,1,0.31932882414151925,0.4918054110301769,0,0,26,92,85,79,36,36,36
need,4634.0,4634.0,9306.0,121.17481205475477,86.61843451307142,0.6993063383210267,76.81270760950133,0.30137877211238295,125.93649193144932,505.4386001800126,0.4979583064689448,0,0.11719562955254943,0.12552029136316337,0,0,19,28,28,26,28,28,28
elk-sedge,4773.0,4773.0,9176.0,132.8221250937936,101.1912900274654,0.6477468081718445,77.95622070765701,0.31041883454734653,146.40013661195812,556.8355697996826,0.5201612903225806,0,0.3600416233090531,0.3077523413111342,0,0,15,61,57,55,23,21,21
bow,7345.0,10196.0,13121.0,166.20937991138908,125.5755248479444,0.6551185464130809,96.70545204940501,0.47769250780437045,171.86331778480246,883.747258045114,0.5597896501791022,1,0.4162330905306972,0.33610822060353795,0,0,35,47,45,47,60,60,60
