area,area_filled,area_convex,axis_major_length,axis_minor_length,eccentricity,equivalent_diameter_area,extent,feret_diameter_max,perimeter,holes,h_sym_err_percent,v_sym_err_percent,pixelsum_tr,pixelsum_ml,pixelsum_mm,pixelsum_mr,pixelsum_bl,pixelsum_bm,pixelsum_br,label
5851.0,5851.0,10978.0,163.19834650237075,96.0106546045604,0.8086379997901576,86.31178700644216,0.3805280957336108,160.5615146914104,598.350288425444,0.0,0.3699271592091571,0.350156087408949,17.0,75.0,78.0,82.0,26.0,26.0,26.0,sun
8536.0,10446.0,12769.0,159.47997030886256,119.41882757675182,0.6627944172436787,104.25148801748274,0.5551508844953174,166.20770138594662,850.5929291125633,1.0,0.4745057232049948,0.5010405827263268,18.0,53.0,51.0,53.0,73.0,73.0,73.0,bow
6037.0,6325.0,13999.0,132.56867642071177,120.07694639396496,0.4237661509134478,87.67295553114528,0.3926248699271592,169.11830178901394,839.1930009000631,2.0,0.3249219562955255,0.3561394380853278,15.0,70.0,76.0,85.0,39.0,42.0,43.0,spear
7644.0,9101.0,11596.0,158.27319919445347,110.49742513939697,0.71595773469608,98.654158959243,0.4971383975026014,170.4494059831245,808.3919189857867,1.0,0.3820239334027055,0.4946670135275754,21.0,52.0,52.0,52.0,69.0,69.0,71.0,bow
4982.0,4982.0,9299.0,161.1059038514578,87.18469012440822,0.8409171746283749,79.64470736885522,0.3240114464099896,169.799882214329,621.5046173579947,0.0,0.2680801248699271,0.4402965660770031,17.0,47.0,45.0,47.0,20.0,20.0,20.0,oak
6443.0,7202.0,9976.0,147.81151749822098,101.92055696761852,0.7242565985315812,90.57307760437786,0.4190296566077003,152.0526224699857,615.7645019878172,1.0,0.3028095733610822,0.5689386056191468,31.0,95.0,98.0,95.0,31.0,31.0,31.0,joy
6443.0,6444.0,10972.0,117.46478171467804,100.99994711924762,0.5105775030936115,90.57307760437786,0.4190296566077003,136.8941196691808,655.6883835420683,1.0,0.2091571279916753,0.2130593132154006,17.0,87.0,82.0,78.0,80.0,75.0,76.0,serpent
6711.0,7505.0,9991.0,137.70463805740886,107.97086644372185,0.6206651502496109,92.43760373742754,0.4364594172736732,142.27438279606065,614.0071426749364,1.0,0.3826742976066597,0.5585327783558793,21.0,83.0,81.0,81.0,35.0,32.0,32.0,joy
3702.0,3703.0,8914.0,123.78092809746556,85.03210121842672,0.7266986303479541,68.65517310887485,0.2407648283038501,127.81627439414748,520.7106781186548,1.0,0.1742976066597294,0.1982310093652445,15.0,57.0,62.0,68.0,20.0,20.0,20.0,need
7249.0,9233.0,11737.0,149.58052171648458,122.32329861043104,0.575537221233185,96.07139771953564,0.47144901144641,150.14659503298768,814.5340546095176,1.0,0.4240374609781477,0.3727887617065556,18.0,50.0,50.0,52.0,69.0,69.0,70.0,bow
8397.0,11297.0,12963.0,152.04854608518664,134.2724060913769,0.4692054241576982,103.39918982826298,0.5461108220603538,156.46405337968207,828.2914139223983,1.0,0.4062174817898022,0.2961758584807492,32.0,54.0,54.0,52.0,121.0,121.0,119.0,bow
6104.0,6386.0,10057.0,149.6357340315553,99.23938216861308,0.7484365173878342,88.15812033535784,0.3969823100936524,150.33296378372907,590.8528137423857,1.0,0.3077523413111342,0.4950572320499479,34.0,53.0,47.0,34.0,30.0,30.0,30.0,joy
10161.0,10408.0,13746.0,129.90578319224403,122.67190698047266,0.3290444306671233,113.74263498817842,0.6608350676378772,155.8621185535472,721.955410846827,2.0,0.2013527575442247,0.2245057232049948,46.0,86.0,88.0,90.0,98.0,96.0,92.0,spear
4752.0,4752.0,9296.0,137.81604118564942,98.66371653252516,0.6981938065243432,77.78453777314289,0.3090530697190427,144.84474446799925,555.4213562373095,0.0,0.3249219562955255,0.2869406867845994,17.0,47.0,42.0,42.0,22.0,22.0,22.0,elk-sedge
7350.0,7350.0,10437.0,148.33503404088455,98.02201560164028,0.7505488225593143,96.73836185197392,0.4780176899063476,152.2005256232711,630.3086578651014,0.0,0.3887877211238293,0.4769771071800208,26.0,66.0,66.0,60.0,37.0,37.0,37.0,ash
5056.0,5056.0,9669.0,158.61697565358645,97.16794403877248,0.790397075625138,80.2340273087484,0.3288241415192507,169.03549923019128,667.1614716074871,0.0,0.2778355879292404,0.4185744016649323,19.0,47.0,40.0,36.0,19.0,19.0,19.0,oak
